Date,YNDX
2019-12-06,2570.39990234375
2019-12-09,2584.0
2019-12-10,2588.0
2019-12-11,2595.0
2019-12-12,2628.0
2019-12-13,2662.800048828125
2019-12-16,2690.0
2019-12-17,2660.0
2019-12-18,2625.0
2019-12-19,2623.199951171875
2019-12-20,2680.0
2019-12-23,2699.800048828125
2019-12-24,2688.0
2019-12-25,2687.0
2019-12-26,2713.0
2019-12-27,2736.0
2019-12-30,2697.0
2020-01-03,2685.0
2020-01-06,2672.0
2020-01-08,2677.0
2020-01-09,2728.39990234375
2020-01-10,2725.0
2020-01-13,2703.39990234375
2020-01-14,2685.0
2020-01-15,2690.0
2020-01-16,2719.800048828125
2020-01-17,2772.800048828125
2020-01-20,2800.0
2020-01-21,2770.0
2020-01-22,2790.0
2020-01-23,2820.199951171875
2020-01-24,2798.0
2020-01-27,2780.0
2020-01-28,2799.800048828125
2020-01-29,2890.0
2020-01-30,2888.0
2020-01-31,2873.39990234375
2020-02-03,2880.60009765625
2020-02-04,2990.0
2020-02-05,3008.199951171875
2020-02-06,3048.199951171875
2020-02-07,3103.800048828125
2020-02-10,3087.199951171875
2020-02-11,3085.0
2020-02-12,3037.199951171875
2020-02-13,3087.39990234375
2020-02-14,3011.0
2020-02-17,2983.60009765625
2020-02-18,2937.0
2020-02-19,2953.0
2020-02-20,2988.39990234375
2020-02-21,2911.800048828125
2020-02-25,2681.800048828125
2020-02-26,2690.800048828125
2020-02-27,2678.199951171875
2020-02-28,2659.800048828125
2020-03-02,2721.39990234375
2020-03-03,2723.0
2020-03-04,2654.199951171875
2020-03-05,2728.199951171875
2020-03-06,2685.0
2020-03-10,2590.0
2020-03-11,2615.0
2020-03-12,2460.0
2020-03-13,2460.0
2020-03-16,2460.0
2020-03-17,2425.0
2020-03-18,2318.800048828125
2020-03-19,2434.0
2020-03-20,2455.199951171875
2020-03-23,2299.800048828125
2020-03-24,2459.0
2020-03-25,2555.800048828125
2020-03-26,2610.0
2020-03-27,2597.0
2020-03-30,2670.199951171875
2020-03-31,2714.39990234375
2020-04-01,2605.800048828125
2020-04-02,2550.800048828125
2020-04-03,2520.0
2020-04-06,2582.0
2020-04-07,2668.0
2020-04-08,2742.60009765625
2020-04-09,2697.199951171875
2020-04-10,2701.0
2020-04-13,2659.0
2020-04-14,2755.60009765625
2020-04-15,2588.199951171875
2020-04-16,2637.800048828125
2020-04-17,2630.39990234375
2020-04-20,2736.39990234375
2020-04-21,2659.199951171875
2020-04-22,2655.0
2020-04-23,2640.60009765625
2020-04-24,2621.0
2020-04-27,2715.0
2020-04-28,2754.800048828125
2020-04-29,2870.0
2020-04-30,2850.800048828125
2020-05-04,2828.800048828125
2020-05-05,2842.199951171875
2020-05-06,2864.0
2020-05-07,2910.199951171875
2020-05-08,2975.199951171875
2020-05-12,2977.0
2020-05-13,2893.39990234375
2020-05-14,2821.800048828125
2020-05-15,2839.60009765625
2020-05-18,2945.0
2020-05-19,2970.0
2020-05-20,2964.60009765625
2020-05-21,2910.800048828125
2020-05-22,2905.0
2020-05-25,2960.60009765625
2020-05-26,2913.199951171875
2020-05-27,2826.0
2020-05-28,2888.0
2020-05-29,2833.199951171875
2020-06-01,2846.0
2020-06-02,2837.800048828125
2020-06-03,2867.60009765625
2020-06-04,2861.60009765625
2020-06-05,2884.0
2020-06-08,2873.199951171875
2020-06-09,2902.0
2020-06-10,2885.0
2020-06-11,2850.0
